id	context	prefix
daily:1367__3__61	"Berneice:
Chicken, please.
Keilee:
Good choice!
Berneice:
What kind of drinks do you have?
"	"Keilee:
http://ww1.hdnux.com/photos/60/17/11/12644956/6/1024x1024.jpg
https://img.playbuzz.com/image/upload/f_auto,fl_lossy,q_auto/cdn/2dd940d7-0960-444f-9498-f1b248b740a6/5ebf4634-9c41-4c38-aaa1-fa17e9940655.jpg
Well, we have all kinds of beverages in addition to fruit juic"
empathy:2311__1__29	"Gabriella:
I had to take my daughter to the doctor the other day. She was very sick.
"	"Jeimy:
Oh no! Hopefully its just the "
bst:244__5__82	"Stasia:
Salsa (dance)
Britini:
I love chocolate, but my favorite food is pizza!
Stasia:
Both are great :) do you play any instruments?
Britini:
I have always wanted to play the drums, but no. Do you play any?
Stasia:
https://media.istockphoto.com/photos/the-girls-hand-on-the-strings-of-a-violin-picture-id493556654?k=6&m=493556654&s=612x612&w=0&h=BCguz3XE5LQhnmhcq3rF35f8Sw1sGnRDTUM9Y9wpEs0=
https://ak8.picdn.net/shutterstock/videos/6434258/thumb/1.jpg
https://ak2.picdn.net/shutterstock/videos/13384232/thumb/11.jpg?i10c=img.resize(height:160)
https://media.istockphoto.com/photos/young-woman-playing-cello-on-the-concert-picture-id849496522?k=6&m=849496522&s=612x612&w=0&h=U_UYr1mayoaspWyrEdZ9e1194DOuM67IC_lApsv7x60=
https://ak0.picdn.net/shutterstock/videos/34077880/thumb/12.jpg
https://ak5.picdn.net/shutterstock/videos/7532875/thumb/1.jpg
https://i.pinimg.com/736x/6b/ee/8a/6bee8afbec32ea83bf6e8b74507bc6e2--perfect-music-wedding-music.jpg
You should try learn. I can play violin. Do you like music?
"	"Britini:
Music is my everything. I fantasize about having a soundtrack playing to my life. H"
wow:1252__0__94		"Nathanial:
My friend just got diagnosed with Epilepsy. Its a neurological disorder that causes epileptic s"
persona:922__3__1	"Westlyn:
https://media.istockphoto.com/photos/black-labrador-dog-walking-towards-the-camera-picture-id473347852?k=6&m=473347852&s=612x612&w=0&h=c_p2bdkr90HV7NhyntAhlQLryXQazaz1_2sLfOJkcpY=
I just came inside from playing frisbee with my dogs, 2 black labs. How about you?
Britain:
https://ak3.picdn.net/shutterstock/videos/12915173/thumb/1.jpg
I have a pet dog too. He is a blast.
Westlyn:
https://i.pinimg.com/736x/c5/2a/9f/c52a9f10817d71678ce517b2bd340aa6--chihuahuas-westies.jpg
Dogs are the greatest, mine beg me for the sardines I eat every morning for breakfast.
"	"Britain:
Lo"
wow:1263__0__33		"Richard:
https://ak0.picdn.net/shutterstock/videos/25628960/thumb/1.jpg
Chocolate is a delicious sweet, an"
persona:140__8__40	"Abagale:
Hey there.. How are you doing today?
Jannat:
Great! Just grading some papers and throwing some things in the crock pot.
Abagale:
https://ak3.picdn.net/shutterstock/videos/11492093/thumb/1.jpg
https://ak4.picdn.net/shutterstock/videos/3342194/thumb/1.jpg
https://quietkinetic.files.wordpress.com/2015/07/reef_fish_temperature.jpg
https://ak8.picdn.net/shutterstock/videos/25777508/thumb/1.jpg?i10c=img.resize(height:160)
https://ak0.picdn.net/shutterstock/videos/13250090/thumb/1.jpg
https://ak3.picdn.net/shutterstock/videos/32039983/thumb/12.jpg
https://ak7.picdn.net/shutterstock/videos/28670047/thumb/1.jpg
https://ak1.picdn.net/shutterstock/videos/27544591/thumb/1.jpg
https://i.pinimg.com/736x/bd/fb/05/bdfb05ec64aa45a9110caf34ad7bee25--coral-reefs-the-philippines.jpg
Nice! I just finished feeding my fish... I collect exotic fish btw
Jannat:
https://s-media-cache-ak0.pinimg.com/736x/cd/78/2d/cd782d2f7a19568dbbe71e751ff15dab.jpg
https://img-aws.ehowcdn.com/877x500p/photos.demandstudios.com/9/223/fotolia_13625382_XS.jpg
https://a2.cdn.japantravel.com/photo/6002-40605/800/aomori-lapia-40605.jpg
Very cool! My daughter wants a fish tank!
Abagale:
Are you a teacher? I go to school myself... For hairdressing
Jannat:
I am a literature teacher! Nothing like a good book! Nice!!
Abagale:
Cool... My sons are thankfully into literature.. Both of them!
Jannat:
I wish my husband was! My daughter just loves cooking like me.
"	"Abagale:
I wish I could cook! Instead of eggs and "
daily:434__3__17	"Rosalva:
That dress is very pretty. Why don't you like it?
Yahya:
It's too loud.
Rosalva:
We've been looking around for many hours. What on earth are you looking for?
"	"Yahya:
Well, you know, th"
persona:611__9__22	"Maelee:
Hello, how are you doing?
Cieara:
Hello. I am great. Hope you do not mind talking to an old man.
Maelee:
Not at all. I am shy but like talking to everyone.
Cieara:
That is great for me. I tire easily these days, how about you?
Maelee:
I have plenty of energy. I like to play mmorpg games.
Cieara:
Sounds fun. I have a cool wheelchair that goes very fast since it was modded.
Maelee:
How fast does it go?
Cieara:
https://media.istockphoto.com/photos/wheelchair-on-a-white-background-rear-view-3d-rendering-picture-id515828614?k=6&m=515828614&s=612x612&w=0&h=MPT2T8XSE_94IG5FdqMNYn3gQySYTsTvv1_mN1vwaTw=
http://media.gettyimages.com/photos/nurse-with-an-empty-wheelchair-picture-id530730372
30 miles per hour. I can go over terrains. Many of them!
Maelee:
Wow! Can you go over gravel?
"	"Cieara:
Yes. I was in the milit"
wow:1136__5__86	"Arlett:
Donald Trump is currently the President of the United States, and boy am I sad to be typing that.
Floyd:
trust me, i know... I actually voted for me, what was i thinking? I mean both candidates were pretty bad and i didn't want hilary to become a president
Arlett:
I think that's what most people were thinking, his populist positions appealed to many male, white, blue-collar, non-college degree holding individuals.
Floyd:
and i'm actually black :) I can't wait for the next elections. I hope next time we will have better candidates. 
Arlett:
It's hard to imagine someone who owned the Miss Universe and Miss USA pageants from 1996 to 2015 is the current president.
"	"Floyd:
I feel so bad for women who used to date him or be married to him. He is so disrespectf"
